R201

VEHICLE
NUMBER
25

CUSTOMER
CUST NO.	XCOORD.	YCOORD.	DEMAND	STAFF0	STAFF1	READY TIME	DUE DATE	SERVICE TIME
0	35	35	0	0	0	0	1000	0
1	41	49	1	1	0	707	848	10
2	35	17	2	2	0	143	282	10
3	55	45	1	1	0	527	584	10
4	55	20	1	1	0	678	801	10
5	15	30	1	1	0	34	209	10
6	25	30	1	1	0	415	514	10
7	20	50	1	1	0	331	410	10
8	10	43	1	1	0	404	481	10
9	55	60	1	1	0	400	497	10
10	30	60	3	3	0	577	632	10
11	20	65	1	1	0	206	325	10
12	50	35	2	1	1	228	345	10
13	30	25	1	1	0	690	827	10
14	15	10	3	1	0	32	243	10
15	30	5	2	2	0	175	300	10
16	10	20	3	2	1	272	373	10
17	5	30	2	1	0	733	870	10
18	20	40	3	2	0	377	434	10
19	15	60	3	1	1	269	378	10
20	45	65	1	1	0	581	666	10
21	45	20	1	1	0	214	331	10
22	45	10	3	1	0	409	494	10
23	55	5	2	1	0	206	325	10
24	65	35	2	1	0	704	847	10
25	65	20	3	3	0	817	956	10
26	45	30	3	2	0	588	667	10
27	35	40	2	1	1	104	255	10
28	41	37	1	1	0	114	255	10
29	64	42	3	2	1	190	313	10
30	40	60	1	1	0	259	354	10
31	31	52	2	2	0	152	275	10
32	35	69	1	1	0	660	777	10
33	53	52	3	1	0	45	200	10
34	65	55	2	2	0	529	614	10
35	63	65	1	1	0	686	813	10
36	2	60	3	1	1	41	208	10
37	20	20	1	1	0	606	693	10
38	5	5	3	1	1	302	405	10
39	60	12	2	1	0	33	224	10
40	40	25	3	2	0	360	437	10
41	42	7	1	1	0	396	511	10
42	24	12	2	1	0	25	172	10
43	23	3	3	2	1	620	705	10
44	11	14	1	1	0	233	340	10
45	6	38	3	1	0	29	189	10
46	2	48	3	1	0	515	628	10
47	8	56	1	1	0	85	250	10
48	13	52	2	1	0	773	906	10
49	6	68	3	2	1	501	540	10
50	47	47	3	3	0	547	642	10
51	49	58	3	1	1	348	453	10
52	27	43	2	1	0	174	299	10
53	37	31	2	1	0	414	489	10
54	57	29	1	1	0	641	734	10
55	63	23	2	1	1	620	739	10
56	53	12	1	1	0	585	692	10
57	32	12	2	1	1	421	530	10
58	36	26	1	1	0	849	980	10
59	21	24	1	1	0	17	229	10
60	17	34	2	1	1	721	862	10
61	12	24	1	1	0	290	377	10
62	24	58	2	2	0	163	302	10
63	27	69	3	1	1	34	191	10
64	15	77	3	2	1	214	333	10
65	62	77	3	2	1	49	188	10
66	49	73	2	1	1	592	693	10
67	67	5	3	2	0	294	401	10
68	56	39	1	1	0	637	752	10
69	37	47	1	1	0	162	293	10
70	37	56	2	1	0	788	968	10
71	57	68	3	1	0	268	367	10
72	47	16	1	1	0	31	208	10
73	44	17	3	1	1	308	399	10
74	46	13	3	1	1	681	802	10
75	49	11	3	1	0	236	345	10
76	49	42	3	1	0	290	373	10
77	53	43	2	1	1	817	952	10
78	61	52	3	2	0	384	499	10
79	57	48	3	1	1	388	465	10
80	56	37	2	2	0	839	968	10
81	55	54	1	1	0	411	456	10
82	15	47	2	1	0	162	289	10
83	14	37	2	2	0	96	249	10
84	11	31	1	1	0	436	511	10
85	16	22	3	1	0	376	461	10
86	4	18	1	1	0	388	465	10
87	28	18	1	1	0	420	447	10
88	26	52	3	1	0	279	388	10
89	26	35	2	1	1	755	920	10
90	31	67	3	2	0	392	487	10
91	15	19	1	1	0	739	866	10
92	22	22	2	1	1	18	181	10
93	18	24	1	1	0	811	969	10
94	26	27	2	2	0	436	503	10
95	25	24	3	1	1	92	231	10
96	22	27	3	2	0	607	690	10
97	25	21	3	1	1	612	673	10
98	19	21	2	1	0	183	306	10
99	20	26	3	1	0	333	432	10
100	18	18	1	1	0	798	965	10
