C109

VEHICLE
NUMBER
25

CUSTOMER
CUST NO.	XCOORD.	YCOORD.	DEMAND	STAFF0	STAFF1	READY TIME	DUE DATE	SERVICE TIME
0	40	50	0	0	0	0	1236	0
1	45	68	1	1	0	760	1120	90
2	45	70	2	2	0	668	1028	90
3	42	66	1	1	0	16	376	90
4	42	68	1	1	0	575	935	90
5	42	65	1	1	0	15	375	90
6	40	69	1	1	0	482	842	90
7	40	66	1	1	0	18	378	90
8	38	68	1	1	0	110	470	90
9	38	70	1	1	0	390	750	90
10	35	66	3	3	0	204	564	90
11	35	69	1	1	0	297	657	90
12	25	85	2	1	1	507	867	90
13	22	75	1	1	0	30	390	90
14	22	85	3	1	0	414	774	90
15	20	80	2	2	0	227	587	90
16	20	85	3	2	1	322	682	90
17	18	75	2	1	0	33	393	90
18	15	75	3	2	0	37	397	90
19	15	80	3	1	1	132	492	90
20	30	50	1	1	0	10	370	90
21	30	52	1	1	0	760	1120	90
22	28	52	3	1	0	668	1028	90
23	28	55	2	1	0	575	935	90
24	25	50	2	1	0	15	375	90
25	25	52	3	3	0	17	377	90
26	25	55	3	2	0	482	842	90
27	23	52	2	1	1	109	469	90
28	23	55	1	1	0	390	750	90
29	20	50	3	2	1	202	562	90
30	20	55	1	1	0	297	657	90
31	10	35	2	2	0	39	399	90
32	10	40	1	1	0	31	391	90
33	8	40	3	1	0	33	393	90
34	8	45	2	2	0	604	964	90
35	5	35	1	1	0	134	494	90
36	5	45	3	1	1	511	871	90
37	2	40	1	1	0	229	589	90
38	0	40	3	1	1	321	681	90
39	0	45	2	1	0	416	776	90
40	35	30	3	2	0	113	473	90
41	35	32	1	1	0	21	381	90
42	33	32	2	1	0	19	379	90
43	33	35	3	2	1	16	376	90
44	32	30	1	1	0	206	566	90
45	30	30	3	1	0	391	751	90
46	30	32	3	1	0	299	659	90
47	30	35	1	1	0	767	1127	90
48	28	30	2	1	0	483	843	90
49	28	35	3	2	1	766	1126	90
50	26	32	3	3	0	668	1028	90
51	25	30	3	1	1	576	936	90
52	25	35	2	1	0	761	1121	90
53	44	5	2	1	0	137	497	90
54	42	10	1	1	0	42	402	90
55	42	15	2	1	1	35	395	90
56	40	5	1	1	0	231	591	90
57	40	15	2	1	1	35	395	90
58	38	5	1	1	0	323	683	90
59	38	15	1	1	0	516	876	90
60	35	5	2	1	1	416	776	90
61	50	30	1	1	0	391	751	90
62	50	35	2	2	0	110	470	90
63	50	40	3	1	1	15	375	90
64	48	30	3	2	1	483	843	90
65	48	40	3	2	1	12	372	90
66	47	35	2	1	1	671	1031	90
67	47	40	3	2	0	12	372	90
68	45	30	1	1	0	576	936	90
69	45	35	1	1	0	763	1123	90
70	95	30	2	1	0	242	602	90
71	95	35	3	1	0	147	507	90
72	53	30	1	1	0	298	658	90
73	92	30	3	1	1	335	695	90
74	53	35	3	1	1	203	563	90
75	45	65	3	1	0	770	1130	90
76	90	35	3	1	0	52	412	90
77	88	30	2	1	1	429	789	90
78	88	35	3	2	0	50	410	90
79	87	30	3	1	1	520	880	90
80	85	25	2	2	0	615	975	90
81	85	35	1	1	0	47	407	90
82	75	55	2	1	0	215	575	90
83	72	55	2	2	0	122	482	90
84	70	58	1	1	0	311	671	90
85	68	60	3	1	0	404	764	90
86	66	55	1	1	0	26	386	90
87	65	55	1	1	0	25	385	90
88	65	60	3	1	0	497	857	90
89	63	58	2	1	1	590	950	90
90	60	55	3	2	0	20	380	90
91	60	60	1	1	0	683	1043	90
92	67	85	2	1	1	225	585	90
93	65	85	1	1	0	317	677	90
94	65	82	2	2	0	131	491	90
95	62	80	3	1	1	38	398	90
96	60	80	3	2	0	36	396	90
97	60	85	3	1	1	412	772	90
98	58	75	2	1	0	30	390	90
99	55	80	3	1	0	602	962	90
100	55	85	1	1	0	507	867	90
