RC108

VEHICLE
NUMBER
25

CUSTOMER
CUST NO.	XCOORD.	YCOORD.	DEMAND	STAFF0	STAFF1	READY TIME	DUE DATE	SERVICE TIME
0	40	50	0	0	0	0	240	0
1	25	85	1	1	0	49	191	10
2	22	75	2	2	0	30	168	10
3	22	85	1	1	0	95	152	10
4	20	80	1	1	0	69	193	10
5	20	85	1	1	0	40	189	10
6	18	75	1	1	0	60	159	10
7	15	75	1	1	0	54	133	10
8	15	80	1	1	0	67	144	10
9	10	35	1	1	0	57	154	10
10	10	40	3	3	0	106	161	10
11	8	40	1	1	0	33	152	10
12	8	45	2	1	1	32	148	10
13	5	35	1	1	0	53	191	10
14	5	45	3	1	0	35	194	10
15	2	40	2	2	0	39	163	10
16	0	40	3	2	1	41	141	10
17	0	45	2	1	0	51	189	10
18	44	5	3	2	0	73	130	10
19	42	10	3	1	1	40	148	10
20	42	15	1	1	0	94	179	10
21	40	5	1	1	0	45	161	10
22	40	15	3	1	0	64	149	10
23	38	5	2	1	0	45	164	10
24	38	15	2	1	0	51	194	10
25	35	5	3	3	0	45	183	10
26	95	30	3	2	0	90	169	10
27	95	35	2	1	1	57	172	10
28	92	30	1	1	0	55	174	10
29	90	35	3	2	1	52	174	10
30	88	30	1	1	0	52	147	10
31	88	35	2	2	0	50	172	10
32	87	30	1	1	0	61	178	10
33	85	25	3	1	0	51	178	10
34	85	35	2	2	0	83	168	10
35	67	85	1	1	0	57	185	10
36	65	85	3	1	1	43	186	10
37	65	82	1	1	0	95	182	10
38	62	80	3	1	1	38	141	10
39	60	80	2	1	0	36	193	10
40	60	85	3	2	0	61	138	10
41	58	75	1	1	0	49	164	10
42	55	80	2	1	0	33	180	10
43	55	85	3	2	1	100	185	10
44	55	82	1	1	0	35	142	10
45	20	82	3	1	0	37	192	10
46	18	80	3	1	0	71	184	10
47	2	45	1	1	0	38	191	10
48	42	5	2	1	0	50	184	10
49	42	12	3	2	1	99	138	10
50	72	35	3	3	0	83	178	10
51	55	20	3	1	1	45	150	10
52	25	30	2	1	0	25	150	10
53	20	50	2	1	0	68	143	10
54	55	60	1	1	0	107	200	10
55	30	60	2	1	1	95	214	10
56	50	35	1	1	0	91	198	10
57	30	25	2	1	1	56	165	10
58	15	10	1	1	0	51	182	10
59	10	20	1	1	0	42	187	10
60	15	60	2	1	1	62	203	10
61	45	65	1	1	0	37	124	10
62	65	35	2	2	0	29	168	10
63	65	20	3	1	1	39	190	10
64	45	30	3	2	1	20	139	10
65	35	40	3	2	1	11	150	10
66	41	37	2	1	1	97	198	10
67	64	42	3	2	0	31	138	10
68	40	60	1	1	0	101	216	10
69	31	52	1	1	0	9	139	10
70	35	69	2	1	0	30	210	10
71	65	55	3	1	0	30	129	10
72	63	65	1	1	0	27	202	10
73	2	60	3	1	1	46	137	10
74	20	20	3	1	1	71	193	10
75	5	5	3	1	0	57	165	10
76	60	12	3	1	0	48	131	10
77	23	3	2	1	1	49	180	10
78	8	56	3	2	0	47	162	10
79	6	68	3	1	1	65	142	10
80	47	47	2	2	0	93	222	10
81	49	58	1	1	0	78	123	10
82	27	43	2	1	0	14	140	10
83	37	31	2	2	0	19	172	10
84	57	29	1	1	0	73	148	10
85	63	23	3	1	0	59	144	10
86	21	24	1	1	0	63	140	10
87	12	24	1	1	0	91	118	10
88	24	58	3	1	0	27	136	10
89	67	5	2	1	1	52	177	10
90	37	47	3	2	0	53	148	10
91	49	42	1	1	0	89	217	10
92	53	43	2	1	1	14	177	10
93	61	52	1	1	0	50	208	10
94	57	48	2	2	0	76	143	10
95	56	37	3	1	1	20	159	10
96	55	54	3	2	0	105	188	10
97	4	18	3	1	1	104	165	10
98	26	52	2	1	0	14	136	10
99	26	35	3	1	0	42	141	10
100	31	67	1	1	0	43	210	10
