R211

VEHICLE
NUMBER
25

CUSTOMER
CUST NO.	XCOORD.	YCOORD.	DEMAND	STAFF0	STAFF1	READY TIME	DUE DATE	SERVICE TIME
0	35	35	0	0	0	0	1000	0
1	41	49	1	1	0	451	974	10
2	35	17	2	2	0	18	534	10
3	55	45	1	1	0	378	733	10
4	55	20	1	1	0	477	965	10
5	15	30	1	1	0	20	610	10
6	25	30	1	1	0	245	684	10
7	20	50	1	1	0	172	569	10
8	10	43	1	1	0	245	640	10
9	55	60	1	1	0	231	666	10
10	30	60	3	3	0	430	779	10
11	20	65	1	1	0	33	511	10
12	50	35	2	1	1	50	523	10
13	30	25	1	1	0	462	978	10
14	15	10	3	1	0	32	694	10
15	30	5	2	2	0	30	519	10
16	10	20	3	2	1	102	543	10
17	5	30	2	1	0	444	959	10
18	20	40	3	2	0	229	582	10
19	15	60	3	1	1	95	552	10
20	45	65	1	1	0	418	829	10
21	45	20	1	1	0	36	509	10
22	45	10	3	1	0	246	657	10
23	55	5	2	1	0	36	514	10
24	65	35	2	1	0	435	960	10
25	65	20	3	3	0	438	956	10
26	45	30	3	2	0	428	827	10
27	35	40	2	1	1	5	548	10
28	41	37	1	1	0	6	526	10
29	64	42	3	2	1	29	513	10
30	40	60	1	1	0	91	522	10
31	31	52	2	2	0	17	501	10
32	35	69	1	1	0	482	955	10
33	53	52	3	1	0	24	575	10
34	65	55	2	2	0	367	776	10
35	63	65	1	1	0	453	948	10
36	2	60	3	1	1	41	615	10
37	20	20	1	1	0	443	856	10
38	5	5	3	1	1	130	577	10
39	60	12	2	1	0	33	655	10
40	40	25	3	2	0	201	596	10
41	42	7	1	1	0	219	688	10
42	24	12	2	1	0	25	560	10
43	23	3	3	2	1	458	867	10
44	11	14	1	1	0	59	514	10
45	6	38	3	1	0	29	589	10
46	2	48	3	1	0	338	805	10
47	8	56	1	1	0	34	602	10
48	13	52	2	1	0	454	962	10
49	6	68	3	2	1	362	679	10
50	47	47	3	3	0	379	810	10
51	49	58	3	1	1	176	625	10
52	27	43	2	1	0	11	502	10
53	37	31	2	1	0	256	647	10
54	57	29	1	1	0	475	900	10
55	63	23	2	1	1	441	918	10
56	53	12	1	1	0	412	865	10
57	32	12	2	1	1	246	705	10
58	36	26	1	1	0	479	980	10
59	21	24	1	1	0	17	681	10
60	17	34	2	1	1	449	971	10
61	12	24	1	1	0	126	541	10
62	24	58	2	2	0	25	544	10
63	27	69	3	1	1	34	588	10
64	15	77	3	2	1	46	524	10
65	62	77	3	2	1	49	568	10
66	49	73	2	1	1	421	864	10
67	67	5	3	2	0	120	575	10
68	56	39	1	1	0	459	930	10
69	37	47	1	1	0	12	513	10
70	37	56	2	1	0	368	968	10
71	57	68	3	1	0	98	537	10
72	47	16	1	1	0	22	617	10
73	44	17	3	1	1	143	564	10
74	46	13	3	1	1	482	965	10
75	49	11	3	1	0	62	519	10
76	49	42	3	1	0	129	534	10
77	53	43	2	1	1	460	970	10
78	61	52	3	2	0	207	676	10
79	57	48	3	1	1	230	623	10
80	56	37	2	2	0	470	968	10
81	55	54	1	1	0	268	599	10
82	15	47	2	1	0	23	515	10
83	14	37	2	2	0	21	568	10
84	11	31	1	1	0	278	669	10
85	16	22	3	1	0	213	624	10
86	4	18	1	1	0	230	623	10
87	28	18	1	1	0	287	580	10
88	26	52	3	1	0	104	563	10
89	26	35	2	1	1	409	981	10
90	31	67	3	2	0	225	654	10
91	15	19	1	1	0	469	964	10
92	22	22	2	1	1	18	585	10
93	18	24	1	1	0	414	969	10
94	26	27	2	2	0	283	656	10
95	25	24	3	1	1	14	533	10
96	22	27	3	2	0	445	852	10
97	25	21	3	1	1	462	823	10
98	19	21	2	1	0	21	506	10
99	20	26	3	1	0	164	601	10
100	18	18	1	1	0	391	965	10
