R112

VEHICLE
NUMBER
25

CUSTOMER
CUST NO.	XCOORD.	YCOORD.	DEMAND	STAFF0	STAFF1	READY TIME	DUE DATE	SERVICE TIME
0	35	35	0	0	0	0	230	0
1	41	49	1	1	0	73	204	10
2	35	17	2	2	0	18	147	10
3	55	45	1	1	0	76	165	10
4	55	20	1	1	0	73	195	10
5	15	30	1	1	0	20	167	10
6	25	30	1	1	0	49	158	10
7	20	50	1	1	0	36	135	10
8	10	43	1	1	0	50	149	10
9	55	60	1	1	0	47	156	10
10	30	60	3	3	0	85	172	10
11	20	65	1	1	0	33	152	10
12	50	35	2	1	1	15	133	10
13	30	25	1	1	0	79	208	10
14	15	10	3	1	0	32	187	10
15	30	5	2	2	0	30	152	10
16	10	20	3	2	1	29	139	10
17	5	30	2	1	0	60	189	10
18	20	40	3	2	0	47	136	10
19	15	60	3	1	1	32	146	10
20	45	65	1	1	0	79	182	10
21	45	20	1	1	0	18	136	10
22	45	10	3	1	0	50	153	10
23	55	5	2	1	0	36	155	10
24	65	35	2	1	0	58	190	10
25	65	20	3	3	0	56	186	10
26	45	30	3	2	0	87	186	10
27	35	40	2	1	1	5	140	10
28	41	37	1	1	0	6	136	10
29	64	42	3	2	1	29	150	10
30	40	60	1	1	0	25	132	10
31	31	52	2	2	0	17	138	10
32	35	69	1	1	0	67	186	10
33	53	52	3	1	0	24	161	10
34	65	55	2	2	0	70	173	10
35	63	65	1	1	0	54	178	10
36	2	60	3	1	1	41	178	10
37	20	20	1	1	0	87	190	10
38	5	5	3	1	1	42	153	10
39	60	12	2	1	0	33	186	10
40	40	25	3	2	0	40	139	10
41	42	7	1	1	0	43	160	10
42	24	12	2	1	0	25	158	10
43	23	3	3	2	1	82	185	10
44	11	14	1	1	0	31	144	10
45	6	38	3	1	0	29	169	10
46	2	48	3	1	0	63	180	10
47	8	56	1	1	0	34	176	10
48	13	52	2	1	0	65	192	10
49	6	68	3	2	1	73	152	10
50	47	47	3	3	0	75	182	10
51	49	58	3	1	1	36	149	10
52	27	43	2	1	0	11	133	10
53	37	31	2	1	0	51	148	10
54	57	29	1	1	0	90	197	10
55	63	23	2	1	1	69	189	10
56	53	12	1	1	0	76	190	10
57	32	12	2	1	1	48	163	10
58	36	26	1	1	0	84	210	10
59	21	24	1	1	0	17	183	10
60	17	34	2	1	1	70	201	10
61	12	24	1	1	0	29	132	10
62	24	58	2	2	0	25	154	10
63	27	69	3	1	1	34	172	10
64	15	77	3	2	1	46	165	10
65	62	77	3	2	1	49	170	10
66	49	73	2	1	1	68	179	10
67	67	5	3	2	0	43	156	10
68	56	39	1	1	0	80	198	10
69	37	47	1	1	0	12	137	10
70	37	56	2	1	0	48	198	10
71	57	68	3	1	0	39	148	10
72	47	16	1	1	0	22	170	10
73	44	17	3	1	1	30	135	10
74	46	13	3	1	1	74	195	10
75	49	11	3	1	0	27	141	10
76	49	42	3	1	0	27	128	10
77	53	43	2	1	1	72	200	10
78	61	52	3	2	0	42	159	10
79	57	48	3	1	1	47	146	10
80	56	37	2	2	0	73	198	10
81	55	54	1	1	0	57	140	10
82	15	47	2	1	0	23	146	10
83	14	37	2	2	0	21	157	10
84	11	31	1	1	0	57	154	10
85	16	22	3	1	0	44	147	10
86	4	18	1	1	0	49	148	10
87	28	18	1	1	0	61	134	10
88	26	52	3	1	0	21	136	10
89	26	35	2	1	1	68	211	10
90	31	67	3	2	0	46	153	10
91	15	19	1	1	0	70	194	10
92	22	22	2	1	1	18	159	10
93	18	24	1	1	0	60	199	10
94	26	27	2	2	0	58	151	10
95	25	24	3	1	1	14	143	10
96	22	27	3	2	0	89	190	10
97	25	21	3	1	1	92	183	10
98	19	21	2	1	0	21	142	10
99	20	26	3	1	0	33	142	10
100	18	18	1	1	0	51	195	10
