RC105

VEHICLE
NUMBER
25

CUSTOMER
CUST NO.	XCOORD.	YCOORD.	DEMAND	STAFF0	STAFF1	READY TIME	DUE DATE	SERVICE TIME
0	40	50	0	0	0	0	240	0
1	25	85	1	1	0	71	191	10
2	22	75	2	2	0	30	150	10
3	22	85	1	1	0	64	184	10
4	20	80	1	1	0	151	161	10
5	20	85	1	1	0	40	160	10
6	18	75	1	1	0	96	123	10
7	15	75	1	1	0	35	155	10
8	15	80	1	1	0	101	111	10
9	10	35	1	1	0	101	111	10
10	10	40	3	3	0	123	144	10
11	8	40	1	1	0	69	79	10
12	8	45	2	1	1	32	152	10
13	5	35	1	1	0	152	162	10
14	5	45	3	1	0	35	117	10
15	2	40	2	2	0	68	78	10
16	0	40	3	2	1	59	114	10
17	0	45	2	1	0	147	180	10
18	44	5	3	2	0	79	124	10
19	42	10	3	1	1	58	115	10
20	42	15	1	1	0	111	162	10
21	40	5	1	1	0	45	165	10
22	40	15	3	1	0	94	119	10
23	38	5	2	1	0	75	85	10
24	38	15	2	1	0	128	194	10
25	35	5	3	3	0	171	181	10
26	95	30	3	2	0	58	171	10
27	95	35	2	1	1	60	93	10
28	92	30	1	1	0	55	120	10
29	90	35	3	2	1	52	112	10
30	88	30	1	1	0	75	102	10
31	88	35	2	2	0	50	170	10
32	87	30	1	1	0	116	175	10
33	85	25	3	1	0	51	85	10
34	85	35	2	2	0	62	182	10
35	67	85	1	1	0	138	169	10
36	65	85	3	1	1	43	78	10
37	65	82	1	1	0	69	189	10
38	62	80	3	1	1	85	95	10
39	60	80	2	1	0	36	74	10
40	60	85	3	2	0	87	112	10
41	58	75	1	1	0	92	121	10
42	55	80	2	1	0	33	66	10
43	55	85	3	2	1	117	168	10
44	55	82	1	1	0	74	84	10
45	20	82	3	1	0	37	72	10
46	18	80	3	1	0	98	157	10
47	2	45	1	1	0	38	109	10
48	42	5	2	1	0	64	184	10
49	42	12	3	2	1	109	128	10
50	72	35	3	3	0	71	191	10
51	55	20	3	1	1	69	126	10
52	25	30	2	1	0	25	145	10
53	20	50	2	1	0	101	111	10
54	55	60	1	1	0	127	180	10
55	30	60	2	1	1	150	160	10
56	50	35	1	1	0	130	159	10
57	30	25	2	1	1	82	139	10
58	15	10	1	1	0	172	182	10
59	10	20	1	1	0	42	162	10
60	15	60	2	1	1	137	202	10
61	45	65	1	1	0	55	106	10
62	65	35	2	2	0	62	72	10
63	65	20	3	1	1	39	108	10
64	45	30	3	2	1	53	82	10
65	35	40	3	2	1	11	43	10
66	41	37	2	1	1	134	161	10
67	64	42	3	2	0	80	90	10
68	40	60	1	1	0	144	173	10
69	31	52	1	1	0	51	61	10
70	35	69	2	1	0	172	210	10
71	65	55	3	1	0	52	107	10
72	63	65	1	1	0	27	147	10
73	2	60	3	1	1	65	118	10
74	20	20	3	1	1	151	161	10
75	5	5	3	1	0	57	172	10
76	60	12	3	1	0	85	95	10
77	23	3	2	1	1	163	173	10
78	8	56	3	2	0	90	119	10
79	6	68	3	1	1	99	109	10
80	47	47	2	2	0	190	222	10
81	49	58	1	1	0	80	121	10
82	27	43	2	1	0	14	134	10
83	37	31	2	2	0	19	139	10
84	57	29	1	1	0	106	116	10
85	63	23	3	1	0	42	162	10
86	21	24	1	1	0	77	126	10
87	12	24	1	1	0	100	110	10
88	24	58	3	1	0	67	96	10
89	67	5	2	1	1	105	177	10
90	37	47	3	2	0	74	127	10
91	49	42	1	1	0	97	217	10
92	53	43	2	1	1	15	25	10
93	61	52	1	1	0	173	208	10
94	57	48	2	2	0	50	170	10
95	56	37	3	1	1	20	140	10
96	55	54	3	2	0	87	207	10
97	4	18	3	1	1	112	157	10
98	26	52	2	1	0	14	134	10
99	26	35	3	1	0	87	97	10
100	31	67	1	1	0	200	210	10
