RC207

VEHICLE
NUMBER
25

CUSTOMER
CUST NO.	XCOORD.	YCOORD.	DEMAND	STAFF0	STAFF1	READY TIME	DUE DATE	SERVICE TIME
0	40	50	0	0	0	0	960	0
1	25	85	1	1	0	591	874	10
2	22	75	2	2	0	73	350	10
3	22	85	1	1	0	473	588	10
4	20	80	1	1	0	418	913	10
5	20	85	1	1	0	40	390	10
6	18	75	1	1	0	249	646	10
7	15	75	1	1	0	281	438	10
8	15	80	1	1	0	272	581	10
9	10	35	1	1	0	236	625	10
10	10	40	3	3	0	470	687	10
11	8	40	1	1	0	33	510	10
12	8	45	2	1	1	166	399	10
13	5	35	1	1	0	359	911	10
14	5	45	3	1	0	35	457	10
15	2	40	2	2	0	39	538	10
16	0	40	3	2	1	214	415	10
17	0	45	2	1	0	359	909	10
18	44	5	3	2	0	338	451	10
19	42	10	3	1	1	205	422	10
20	42	15	1	1	0	511	682	10
21	40	5	1	1	0	158	391	10
22	40	15	3	1	0	263	606	10
23	38	5	2	1	0	45	522	10
24	38	15	2	1	0	598	883	10
25	35	5	3	3	0	348	904	10
26	95	30	3	2	0	509	668	10
27	95	35	2	1	1	57	664	10
28	92	30	1	1	0	68	349	10
29	90	35	3	2	1	131	376	10
30	88	30	1	1	0	114	497	10
31	88	35	2	2	0	102	347	10
32	87	30	1	1	0	564	797	10
33	85	25	3	1	0	51	673	10
34	85	35	2	2	0	462	631	10
35	67	85	1	1	0	396	905	10
36	65	85	3	1	1	43	712	10
37	65	82	1	1	0	530	703	10
38	62	80	3	1	1	131	544	10
39	60	80	2	1	0	36	800	10
40	60	85	3	2	0	233	544	10
41	58	75	1	1	0	207	664	10
42	55	80	2	1	0	33	624	10
43	55	85	3	2	1	549	718	10
44	55	82	1	1	0	62	491	10
45	20	82	3	1	0	37	677	10
46	18	80	3	1	0	435	662	10
47	2	45	1	1	0	38	366	10
48	42	5	2	1	0	636	904	10
49	42	12	3	2	1	423	576	10
50	72	35	3	3	0	471	662	10
51	55	20	3	1	1	281	490	10
52	25	30	2	1	0	109	360	10
53	20	50	2	1	0	284	585	10
54	55	60	1	1	0	568	753	10
55	30	60	2	1	1	421	896	10
56	50	35	1	1	0	404	829	10
57	30	25	2	1	1	347	566	10
58	15	10	1	1	0	380	902	10
59	10	20	1	1	0	42	466	10
60	15	60	2	1	1	613	894	10
61	45	65	1	1	0	230	405	10
62	65	35	2	2	0	29	587	10
63	65	20	3	1	1	39	353	10
64	45	30	3	2	1	20	497	10
65	35	40	3	2	1	11	570	10
66	41	37	2	1	1	423	828	10
67	64	42	3	2	0	112	543	10
68	40	60	1	1	0	441	902	10
69	31	52	1	1	0	9	532	10
70	35	69	2	1	0	211	930	10
71	65	55	3	1	0	201	400	10
72	63	65	1	1	0	27	382	10
73	2	60	3	1	1	255	436	10
74	20	20	3	1	1	427	913	10
75	5	5	3	1	0	183	400	10
76	60	12	3	1	0	162	493	10
77	23	3	2	1	1	360	900	10
78	8	56	3	2	0	195	654	10
79	6	68	3	1	1	258	565	10
80	47	47	2	2	0	426	942	10
81	49	58	1	1	0	369	460	10
82	27	43	2	1	0	85	338	10
83	37	31	2	2	0	19	326	10
84	57	29	1	1	0	304	605	10
85	63	23	3	1	0	318	489	10
86	21	24	1	1	0	332	485	10
87	12	24	1	1	0	365	472	10
88	24	58	3	1	0	100	539	10
89	67	5	2	1	1	565	897	10
90	37	47	3	2	0	324	513	10
91	49	42	1	1	0	651	906	10
92	53	43	2	1	1	14	669	10
93	61	52	1	1	0	298	928	10
94	57	48	2	2	0	385	518	10
95	56	37	3	1	1	20	299	10
96	55	54	3	2	0	538	705	10
97	4	18	3	1	1	546	667	10
98	26	52	2	1	0	109	354	10
99	26	35	3	1	0	170	565	10
100	31	67	1	1	0	262	930	10
