C108

VEHICLE
NUMBER
25

CUSTOMER
CUST NO.	XCOORD.	YCOORD.	DEMAND	STAFF0	STAFF1	READY TIME	DUE DATE	SERVICE TIME
0	40	50	0	0	0	0	1236	0
1	45	68	1	1	0	830	1049	90
2	45	70	2	2	0	756	939	90
3	42	66	1	1	0	16	336	90
4	42	68	1	1	0	643	866	90
5	42	65	1	1	0	15	226	90
6	40	69	1	1	0	499	824	90
7	40	66	1	1	0	87	308	90
8	38	68	1	1	0	150	429	90
9	38	70	1	1	0	429	710	90
10	35	66	3	3	0	279	488	90
11	35	69	1	1	0	363	590	90
12	25	85	2	1	1	547	826	90
13	22	75	1	1	0	30	280	90
14	22	85	3	1	0	489	698	90
15	20	80	2	2	0	318	495	90
16	20	85	3	2	1	394	609	90
17	18	75	2	1	0	33	226	90
18	15	75	3	2	0	68	365	90
19	15	80	3	1	1	176	447	90
20	30	50	1	1	0	10	265	90
21	30	52	1	1	0	836	1043	90
22	28	52	3	1	0	704	991	90
23	28	55	2	1	0	664	845	90
24	25	50	2	1	0	15	333	90
25	25	52	3	3	0	88	305	90
26	25	55	3	2	0	502	821	90
27	23	52	2	1	1	179	398	90
28	23	55	1	1	0	476	663	90
29	20	50	3	2	1	288	475	90
30	20	55	1	1	0	368	585	90
31	10	35	2	2	0	144	293	90
32	10	40	1	1	0	31	309	90
33	8	40	3	1	0	33	313	90
34	8	45	2	2	0	655	912	90
35	5	35	1	1	0	191	436	90
36	5	45	3	1	1	588	793	90
37	2	40	1	1	0	305	512	90
38	0	40	3	1	1	414	587	90
39	0	45	2	1	0	481	710	90
40	35	30	3	2	0	180	405	90
41	35	32	1	1	0	63	338	90
42	33	32	2	1	0	19	345	90
43	33	35	3	2	1	16	273	90
44	32	30	1	1	0	278	493	90
45	30	30	3	1	0	453	688	90
46	30	32	3	1	0	355	602	90
47	30	35	1	1	0	837	1127	90
48	28	30	2	1	0	539	786	90
49	28	35	3	2	1	867	1126	90
50	26	32	3	3	0	719	976	90
51	25	30	3	1	1	635	876	90
52	25	35	2	1	0	825	1056	90
53	44	5	2	1	0	193	440	90
54	42	10	1	1	0	78	365	90
55	42	15	2	1	1	35	287	90
56	40	5	1	1	0	308	513	90
57	40	15	2	1	1	35	246	90
58	38	5	1	1	0	376	629	90
59	38	15	1	1	0	519	872	90
60	35	5	2	1	1	463	728	90
61	50	30	1	1	0	412	729	90
62	50	35	2	2	0	181	398	90
63	50	40	3	1	1	100	289	90
64	48	30	3	2	1	539	786	90
65	48	40	3	2	1	12	223	90
66	47	35	2	1	1	753	948	90
67	47	40	3	2	0	12	275	90
68	45	30	1	1	0	669	842	90
69	45	35	1	1	0	836	1049	90
70	95	30	2	1	0	284	559	90
71	95	35	3	1	0	194	459	90
72	53	30	1	1	0	367	588	90
73	92	30	3	1	1	370	659	90
74	53	35	3	1	1	263	502	90
75	45	65	3	1	0	847	1130	90
76	90	35	3	1	0	119	344	90
77	88	30	2	1	1	469	748	90
78	88	35	3	2	0	50	295	90
79	87	30	3	1	1	573	826	90
80	85	25	2	2	0	694	895	90
81	85	35	1	1	0	47	356	90
82	75	55	2	1	0	293	496	90
83	72	55	2	2	0	154	449	90
84	70	58	1	1	0	360	621	90
85	68	60	3	1	0	470	697	90
86	66	55	1	1	0	76	335	90
87	65	55	1	1	0	25	260	90
88	65	60	3	1	0	551	802	90
89	63	58	2	1	1	640	899	90
90	60	55	3	2	0	20	276	90
91	60	60	1	1	0	756	969	90
92	67	85	2	1	1	257	552	90
93	65	85	1	1	0	409	584	90
94	65	82	2	2	0	209	412	90
95	62	80	3	1	1	130	305	90
96	60	80	3	2	0	36	283	90
97	60	85	3	1	1	470	713	90
98	58	75	2	1	0	30	248	90
99	55	80	3	1	0	628	935	90
100	55	85	1	1	0	530	843	90
