R106

VEHICLE
NUMBER
25

CUSTOMER
CUST NO.	XCOORD.	YCOORD.	DEMAND	STAFF0	STAFF1	READY TIME	DUE DATE	SERVICE TIME
0	35	35	0	0	0	0	230	0
1	41	49	1	1	0	0	204	10
2	35	17	2	2	0	0	202	10
3	55	45	1	1	0	0	197	10
4	55	20	1	1	0	139	169	10
5	15	30	1	1	0	0	199	10
6	25	30	1	1	0	89	119	10
7	20	50	1	1	0	0	198	10
8	10	43	1	1	0	85	115	10
9	55	60	1	1	0	87	117	10
10	30	60	3	3	0	114	144	10
11	20	65	1	1	0	57	87	10
12	50	35	2	1	1	0	205	10
13	30	25	1	1	0	149	179	10
14	15	10	3	1	0	32	62	10
15	30	5	2	2	0	51	81	10
16	10	20	3	2	1	65	95	10
17	5	30	2	1	0	147	177	10
18	20	40	3	2	0	77	107	10
19	15	60	3	1	1	66	96	10
20	45	65	1	1	0	116	146	10
21	45	20	1	1	0	0	201	10
22	45	10	3	1	0	87	117	10
23	55	5	2	1	0	58	88	10
24	65	35	2	1	0	143	173	10
25	65	20	3	3	0	156	186	10
26	45	30	3	2	0	0	208	10
27	35	40	2	1	1	27	57	10
28	41	37	1	1	0	29	59	10
29	64	42	3	2	1	53	83	10
30	40	60	1	1	0	61	91	10
31	31	52	2	2	0	0	202	10
32	35	69	1	1	0	131	161	10
33	53	52	3	1	0	27	57	10
34	65	55	2	2	0	0	183	10
35	63	65	1	1	0	133	163	10
36	2	60	3	1	1	41	71	10
37	20	20	1	1	0	0	198	10
38	5	5	3	1	1	73	103	10
39	60	12	2	1	0	34	64	10
40	40	25	3	2	0	75	105	10
41	42	7	1	1	0	87	117	10
42	24	12	2	1	0	25	55	10
43	23	3	3	2	1	122	152	10
44	11	14	1	1	0	59	89	10
45	6	38	3	1	0	29	59	10
46	2	48	3	1	0	107	137	10
47	8	56	1	1	0	41	71	10
48	13	52	2	1	0	0	192	10
49	6	68	3	2	1	98	128	10
50	47	47	3	3	0	0	203	10
51	49	58	3	1	1	78	108	10
52	27	43	2	1	0	0	208	10
53	37	31	2	1	0	85	115	10
54	57	29	1	1	0	130	160	10
55	63	23	2	1	1	126	156	10
56	53	12	1	1	0	120	150	10
57	32	12	2	1	1	91	121	10
58	36	26	1	1	0	180	210	10
59	21	24	1	1	0	0	202	10
60	17	34	2	1	1	152	182	10
61	12	24	1	1	0	66	96	10
62	24	58	2	2	0	48	78	10
63	27	69	3	1	1	34	64	10
64	15	77	3	2	1	63	93	10
65	62	77	3	2	1	49	79	10
66	49	73	2	1	1	117	147	10
67	67	5	3	2	0	73	103	10
68	56	39	1	1	0	132	162	10
69	37	47	1	1	0	40	70	10
70	37	56	2	1	0	168	198	10
71	57	68	3	1	0	67	97	10
72	47	16	1	1	0	0	197	10
73	44	17	3	1	1	68	98	10
74	46	13	3	1	1	139	169	10
75	49	11	3	1	0	0	192	10
76	49	42	3	1	0	63	93	10
77	53	43	2	1	1	169	199	10
78	61	52	3	2	0	86	116	10
79	57	48	3	1	1	82	112	10
80	56	37	2	2	0	168	198	10
81	55	54	1	1	0	84	114	10
82	15	47	2	1	0	0	196	10
83	14	37	2	2	0	0	198	10
84	11	31	1	1	0	91	121	10
85	16	22	3	1	0	0	196	10
86	4	18	1	1	0	84	114	10
87	28	18	1	1	0	83	113	10
88	26	52	3	1	0	64	94	10
89	26	35	2	1	1	166	196	10
90	31	67	3	2	0	85	115	10
91	15	19	1	1	0	0	194	10
92	22	22	2	1	1	18	48	10
93	18	24	1	1	0	169	199	10
94	26	27	2	2	0	0	207	10
95	25	24	3	1	1	0	205	10
96	22	27	3	2	0	0	204	10
97	25	21	3	1	1	123	153	10
98	19	21	2	1	0	0	198	10
99	20	26	3	1	0	73	103	10
100	18	18	1	1	0	165	195	10
